job_title,company,location,description,url,id
"Forward Deployed Engineer, Infrastructure Specialist (North America)",cohere,,,https://jobs.ashbyhq.com/cohere/job/be48aafc-9610-4ebd-8414-a0722a3cd59a,1b61b307b07a14667fe86631948029c5aea8bf8f418bd335c68b53c7bad0bb20
"Senior Software Engineer, Secure Agents",cohere,,,https://jobs.ashbyhq.com/cohere/job/9f8b928a-1980-4cec-a5f7-eafc3586c2c3,7f3f55e4d237d33a38bc87d2ec58772a26eda7587061e6a185a243febc800a8d
"Senior Research Scientist, Cohere Labs",cohere,,,https://jobs.ashbyhq.com/cohere/job/7ec9eaf4-8cfc-4977-9041-86f73e7ab10b,227e1472191a878ba4ecba761bdae97f134e8a6b0afdb784c4f8e00eb13d1389
Software Engineer - Applied ML - UK Public Sector,cohere,,,https://jobs.ashbyhq.com/cohere/job/df93ec57-d51e-4466-93be-4878c5fda4da,c6bba07586f2342fff59062019701552eec8f3c961c33cf94cf2d2fd7b4e339d
"Software Engineer, Collect",cohere,,,https://jobs.ashbyhq.com/cohere/job/2786dc50-5662-461a-9946-a821ad42816f,75da9415791c5a8a3c450034c4dd8354e46726e567a255154c4e52f5851d5ee3
Research Internship (Winter 2026),cohere,,,https://jobs.ashbyhq.com/cohere/job/6e850172-a79d-4128-abd2-677731312857,5c64f2cce2d672e9ee5f37512970f031d6f22700dbe5d3ca1778112a6f0e9bc5
"Software Engineer, Internal Infrastructure (Europe & UK)",cohere,,,https://jobs.ashbyhq.com/cohere/job/4dd749aa-a675-4430-98fb-6701c8e14ab6,d99f965d27f0f219055b64b68cebcae6e2a5a4020d7abd789aca9eda09069f31
"Software Engineer, Internal Infrastructure (North America)",cohere,,,https://jobs.ashbyhq.com/cohere/job/02c92e66-c89d-4a62-8961-c260d651afe1,23e0b814a396e628084afd7a18edd1882e82921db4aca2bfcfc9580032e51bcb
Senior/Staff Full-Stack Engineer,cohere,,,https://jobs.ashbyhq.com/cohere/job/4b000aff-7c0f-45a0-b67d-cf0cb2ea16a6,fbf4f65f7b812fe9c9fd1af97dfc45d991efdd9cfef8ded565c9105e7dd8312c
Senior/Staff Frontend Engineer,cohere,,,https://jobs.ashbyhq.com/cohere/job/77a96af3-27be-488e-b883-3b2bf7f4e23d,d619534d8c27a9cc934614da0644843ec2a2b9cdcc7a726d6e08982bce22aa1e
